AMM49_RS11255	AMM49_RS11255
AMM49_RS10290	AMM49_RS10290
HFK82_RS01300	HFK82_RS01300
HFK82_RS02695	HFK82_RS02695
HFK82_RS04940	HFK82_RS04940
HFK82_RS06645	HFK82_RS06645
HFK82_RS08260	HFK82_RS08260
SanJ4211_RS03110	SanJ4211_RS03110
SanJ4211_RS06375	SanJ4211_RS06375
EL100_RS09715	EL100_RS09715
EL100_RS08290	EL100_RS08290
BVE86_RS10735	BVE86_RS10735
BVE86_RS09815	BVE86_RS09815
BVE86_RS10510	BVE86_RS10510
A9Q68_RS06980	A9Q68_RS06980
A9Q68_RS10140	A9Q68_RS10140
A3GS_RS12615	A3GS_RS12615
A3GS_RS12030	A3GS_RS12030
A3GS_RS0108685	A3GS_RS0108685
A3GS_RS11850	A3GS_RS11850
A3GS_RS0110905	A3GS_RS0110905
GE022_RS10545	GE022_RS10545
GE022_RS05350	GE022_RS05350
GE022_RS08220	GE022_RS08220
H346_RS10705	H346_RS10705
H346_RS10260	H346_RS10260
H346_RS10340	H346_RS10340
HBN43_RS02645	HBN43_RS02645
HBN43_RS05840	HBN43_RS05840
HBN43_RS08905	HBN43_RS08905
DDV21_RS01090	DDV21_RS01090
DDV21_RS04705	DDV21_RS04705
DDV21_RS08065	DDV21_RS08065
DDV21_RS10395	DDV21_RS10395
D7D54_RS09285	D7D54_RS09285
DYD51_RS00835	DYD51_RS00835
DYD51_RS05830	DYD51_RS05830
DYC09_RS11680	DYC09_RS11680
DYC09_RS11230	DYC09_RS11230
DYC09_RS03570	DYC09_RS03570
DQM67_RS00765	DQM67_RS00765
DQM67_RS10440	DQM67_RS10440
DQM67_RS09915	DQM67_RS09915
BU202_RS08145	BU202_RS08145
E5983_RS08910	E5983_RS08910
E5983_RS09120	E5983_RS09120
E5983_RS09825	E5983_RS09825
E5983_RS05515	E5983_RS05515
E5983_RS06095	E5983_RS06095
E5983_RS06905	E5983_RS06905
G573_RS0102240	G573_RS0102240
G573_RS10945	G573_RS10945
A3GU_RS09645	A3GU_RS09645
DYE66_RS10800	DYE66_RS10800
DYE66_RS05620	DYE66_RS05620
DYE66_RS10815	DYE66_RS10815
H7680_RS00965	H7680_RS00965
H7680_RS05225	H7680_RS05225
H7680_RS08625	H7680_RS08625
A3GW_RS0101090	A3GW_RS0101090
A3GW_RS0102465	A3GW_RS0102465
A3GW_RS11230	A3GW_RS11230
A3GW_RS0106495	A3GW_RS0106495
A3GW_RS0109060	A3GW_RS0109060
I2437_RS00020	I2437_RS00020
I2437_RS07040	I2437_RS07040
DQL21_RS00865	DQL21_RS00865
DQL21_RS09620	DQL21_RS09620
FOC63_RS00860	FOC63_RS00860
FOC63_RS04315	FOC63_RS04315
FOC63_RS06905	FOC63_RS06905
FOC63_RS09590	FOC63_RS09590
FGL23_RS01715	FGL23_RS01715
FGL23_RS04570	FGL23_RS04570
FGL23_RS07430	FGL23_RS07430
D7D53_RS01315	D7D53_RS01315
D7D53_RS04100	D7D53_RS04100
D7D53_RS07695	D7D53_RS07695
K5J94_RS01155	K5J94_RS01155
K5J94_RS03110	K5J94_RS03110
K5J94_RS05150	K5J94_RS05150
K5J94_RS07135	K5J94_RS07135
DB729_RS09440	DB729_RS09440
DB729_RS05850	DB729_RS05850
DB729_RS09170	DB729_RS09170
I6H76_RS04770	I6H76_RS04770
I6H76_RS06755	I6H76_RS06755
I6H76_RS10245	I6H76_RS10245
K1I61_RS04715	K1I61_RS04715
A0G_RS03545	A0G_RS03545
DQN42_RS09635	DQN42_RS09635
DQN42_RS09845	DQN42_RS09845
D7D50_RS10300	D7D50_RS10300
J4854_RS01645	J4854_RS01645
J4854_RS04815	J4854_RS04815
J4854_RS06895	J4854_RS06895
JOC28_RS10650	JOC28_RS10650
JOC28_RS02740	JOC28_RS02740
JOC28_RS04660	JOC28_RS04660
JOC28_RS10720	JOC28_RS10720
JOC28_RS08120	JOC28_RS08120
JOC28_RS10130	JOC28_RS10130
DQN23_RS09165	DQN23_RS09165
DQN23_RS04225	DQN23_RS04225
DQN23_RS05770	DQN23_RS05770
DQN23_RS07555	DQN23_RS07555
DQN23_RS08700	DQN23_RS08700
DYB47_RS01905	DYB47_RS01905
DYB47_RS09680	DYB47_RS09680
DYB47_RS06820	DYB47_RS06820
DYB47_RS08760	DYB47_RS08760
CYK21_RS00810	CYK21_RS00810
CYK21_RS02580	CYK21_RS02580
CYK21_RS03420	CYK21_RS03420
CYK21_RS07040	CYK21_RS07040
A3I1_RS0100125	A3I1_RS0100125
A3I1_RS08605	A3I1_RS08605
A3I1_RS0104645	A3I1_RS0104645
A3I1_RS08165	A3I1_RS08165
A4H00_RS01230	A4H00_RS01230
A4H00_RS02305	A4H00_RS02305
A4H00_RS04140	A4H00_RS04140
A4H00_RS11455	A4H00_RS11455
A4H00_RS07220	A4H00_RS07220
A4H00_RS09415	A4H00_RS09415
A4H00_RS12245	A4H00_RS12245
A4H00_RS11280	A4H00_RS11280
DYC10_RS02165	DYC10_RS02165
DYC10_RS04925	DYC10_RS04925
DYC10_RS06555	DYC10_RS06555
DYC10_RS09400	DYC10_RS09400
DYC10_RS10385	DYC10_RS10385
CKV83_RS01815	CKV83_RS01815
CKV83_RS04230	CKV83_RS04230
CKV83_RS06165	CKV83_RS06165
CKV83_RS11300	CKV83_RS11300
CKV83_RS09795	CKV83_RS09795
F602_RS10950	F602_RS10950
F602_RS10845	F602_RS10845
F602_RS10880	F602_RS10880
F602_RS0104425	F602_RS0104425
F602_RS10435	F602_RS10435
TZ90_RS10405	TZ90_RS10405
TZ90_RS04025	TZ90_RS04025
TZ90_RS06325	TZ90_RS06325
F5989_RS10135	F5989_RS10135
F5989_RS03530	F5989_RS03530
F5989_RS06140	F5989_RS06140
F5989_RS09240	F5989_RS09240
EL140_RS01460	EL140_RS01460
EL140_RS04665	EL140_RS04665
EL140_RS08865	EL140_RS08865
C4K46_RS01565	C4K46_RS01565
C4K46_RS03225	C4K46_RS03225
C4K46_RS04630	C4K46_RS04630
C4K46_RS06325	C4K46_RS06325
C4K46_RS07810	C4K46_RS07810
C4K46_RS09415	C4K46_RS09415
SCSH_RS00535	SCSH_RS00535
SCSH_RS02665	SCSH_RS02665
SCSH_RS06675	SCSH_RS06675
SCSH_RS09085	SCSH_RS09085
SCSH_RS10730	SCSH_RS10730
A3I7_RS13025	A3I7_RS13025
A3I7_RS0103755	A3I7_RS0103755
A3I7_RS14360	A3I7_RS14360
A3I7_RS12665	A3I7_RS12665
A3I7_RS0108830	A3I7_RS0108830
A3I7_RS13815	A3I7_RS13815
A3I7_RS13320	A3I7_RS13320
A3I9_RS0101355	A3I9_RS0101355
A3I9_RS0104100	A3I9_RS0104100
A3I9_RS0104930	A3I9_RS0104930
A3I9_RS0106360	A3I9_RS0106360
A3I9_RS0107180	A3I9_RS0107180
A3I9_RS0108925	A3I9_RS0108925
A3I9_RS0111550	A3I9_RS0111550
HF992_RS01080	HF992_RS01080
HF992_RS07845	HF992_RS07845
HF992_RS08970	HF992_RS08970
HF992_RS09370	HF992_RS09370
HF992_RS10615	HF992_RS10615
HF992_RS03120	HF992_RS03120
HF992_RS03465	HF992_RS03465
HF992_RS04010	HF992_RS04010
HF992_RS05245	HF992_RS05245
JHK62_RS00890	JHK62_RS00890
JHK62_RS05145	JHK62_RS05145
DHL47_RS00270	DHL47_RS00270
DHL47_RS06580	DHL47_RS06580
DHL47_RS08595	DHL47_RS08595
DHL47_RS09685	DHL47_RS09685
DHL47_RS10545	DHL47_RS10545
